label,statement
mostly-true,Says he never told anyone he hated the U.S. Senate.
mostly-true,There is no planned air-conditioned restaurant out on the Lens.
mostly-true,John McCain said...in December he was surprised there was a subprime mortgage problem.
mostly-true,The IRS has been specifically forbidden ... from ever actually pursuing either civil or criminal remedies for people who dont purchase health insurance.
mostly-true,"Says U.S. Senate Democrats have gone without any budget at all for more than 1,000 days."
mostly-true,"The average time someone used to hold a share of stock back in the 60s was eight years. Now, the average time is four months."
mostly-true,"Sen. Joe Liebermans home state has a public option which covers about 10,000 of its citizens that was introduced by its Republican governor."
mostly-true,"The first time he ever voted as a Democrat was here in Florida in 2008. He only voted four times in his life, and he's asking Floridians to come out and vote for him."
mostly-true,"Repeal of Obamacare would take away health care for 10.3 million Americans who have received coverage since Oct. 1, 2013."
mostly-true,Says Texas ranks 44th nationally in education funding per pupil.
mostly-true,"The federal government owns 30 percent of the land in the 50 states, or about 650 million acres."
mostly-true,"Theres 21 congressmen and senators that have been convicted of felonies that still get their retirement, even in jail. They dont have to wait until theyre 65."
mostly-true,Women are still paid 82 cents for every dollar a man earns in Texas.
mostly-true,Says Scott Walker cut back early voting and signed legislation that would make it harder for college students to vote.
mostly-true,"During the last election, Democrats won over a million votes more than Republicans, but because of the way districts are designed, the Republicans got 33 more members of the House of Representatives than the Democrats did."
mostly-true,"Says for the first time in the history of the United States, the government cut taxes during wartime"
mostly-true,"Says Roy Blunt secretly inserts language to benefit tobacco giant Philip Morris into a national security bill while Blunts girlfriend and son are lobbyists for the cigarette company, and just days earlier, 26 Philip Morris executives wrote checks to Blunt totaling $23,000."
mostly-true,"As a senator, Barack Obama supported ""an amendment that basically gutted the legal temporary worker program."""
mostly-true,All the money the Department of Citrus has is paid for by the citrus growers. You dont save dollars by eliminating the Department of Citrus.
mostly-true,John McCain has seven houses.
mostly-true,"California Republican gubernatorial hopeful Meg Whitman ""contributed to, and campaigned, for"" Democratic Sen. Barbara Boxer."
mostly-true,Romney would turn Medicare into a voucher program.
mostly-true,Virginia is the number one state per capita in screening out people with mental illness from gun purchases.
mostly-true,The minimum wage is mostly an entry-level wage for young people.
mostly-true,Says Donald Trump spent the least amount of money of any of the competitive primary contenders that he beat so badly.
mostly-true,Women of childbearing age spend 68 percent more in out-of-pocket health care costs than men.
mostly-true,Florida has the third most-regressive tax structure.
mostly-true,"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year."
mostly-true,"Since (welfare reform) was signed into law, the number of families living in extreme poverty has more than doubled."
mostly-true,Weve got the highest corporate tax rate in the world.
mostly-true,The failings in our civil service are encouraged by a system that makes it very difficult to fire someone even for gross misconduct.
mostly-true,"With the exception of slavery and the Chinese Exclusion Act, our laws have never barred persons from becoming citizens."
mostly-true,Austin is the biggest city in America with a Tier One research university (UT-Austin) but without a medical school.
mostly-true,Were 49th in the United States in new businesses created.
mostly-true,Marco Rubio has the No. 1absentee record in the United States Senate.
mostly-true,"New school testing standards will consume approximately twenty days of testing for elementary, middle and high school students."
mostly-true,"If President Barack Obama strikes a nuclear deal with Iran, the next president could revoke such an executive agreement with the stroke of a pen and future Congresses could modify the terms of the agreement at any time."
mostly-true,The Seattle Times called Patty Murray a prolific sponsor of earmarks. Patty even defended the Bridge to Nowhere.
mostly-true,Kendrick Meek is the only candidate who has consistently been against expanded drilling.
mostly-true,States with the most gun laws tend to have the fewest gun deaths.
mostly-true,Im also the only lieutenant governor to not take a security detail.
mostly-true,"In 2011, NJ economy ranked 47th--at the bottom with Alabama, Mississippi Wyoming. Under Christie, NJ is falling behind."
mostly-true,"Says Chris Abele, opponent in Milwaukee County executive race, failed to finish 3 separate colleges, dropping out all 3 times."
mostly-true,"In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005."
mostly-true,"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012."
mostly-true,Wisconsin Republicans repealed a statewide fair pay law that made sure women are treated fairly on the job.
mostly-true,60 percent of Texas 8th graders are not proficient in math. Only 26% have a teacher with a undergraduate major in math.
mostly-true,"A bag of Cheetos costs less to buy than an apple, and in some Milwaukee neighborhoods good luck trying to find an apple or a banana or some sort of healthy option"
mostly-true,"There is great disparity, tremendous disparity, in the (capital) funding on a per-student basis between our traditional public schools and our charter public schools."
mostly-true,Public education has been permanently cutby $1.6 billion through changes in the Standards of Quality funding formula.
mostly-true,"Gov. Lawton Chiles said ""if I were to become ... become speaker of the House it would be (his) worst nightmare."""
mostly-true,"Says the federal government could save $175,587 by eliminating a study of the connection between cocaine and risky sex habits of the Japanese quail."
mostly-true,"Four percent of American citizens are black males, but they are 35 percent of murder victims."
mostly-true,More astronauts have been to the moon than farmers who paid the inheritance tax in 2013.
mostly-true,Says 55 percent of council members have come from area where only 10 percent of Austinites live.
mostly-true,We have the highest per-pupil cost in the country.
mostly-true,Many uninsured Americans are young.
mostly-true,Republican candidate for governor Karen Handel has run a 100 percent negative campaign.
mostly-true,Says Mitch McConnell credits Republicans for recent economic improvements even though they took control of the Senate only days ago.
mostly-true,Says it wasnt until he and a Senate colleague were able to wrangle the actual streaming video from BP that scientists were able to calculate the oil spill flow.
mostly-true,"$50,000. Thats what every child owes today because Washington politicians have run up a huge spending tab and left our kids the bill."
mostly-true,"When Deborah took office, the (Sellwood Bridge) project had languished for years, with only $11 million in funds. With her leadership the remaining funding was secured that got the project moving forward."
mostly-true,Assaults on Wisconsin law enforcement officers are up 224 percent statewide since 2005
mostly-true,"Since 2000, only 10 cases of in-person voter fraud have been proven nationally."
mostly-true,I remain one of the poorer members of the United States Senate.
mostly-true,"My campaign finished the last quarter reporting the most cash on hand of any Republican in the field $13.8 million in the bank, $3.5 million more than the Jeb Bush campaign."
mostly-true,"Last year, 244 suspected terrorists walked into gun shops and attempted to purchase a firearm; 223 were able to get the firearm."
mostly-true,"Texas has 600,000 registered voters who dont have the kind of photo ID needed to vote."
mostly-true,"Job losses are so certain under this new cap-and-tax plan that it includes a provision accommodating newly unemployed workers from the resulting dried-up energy sector, to the tune of $4.2 billion over eight years. So much for creating jobs."
mostly-true,"One out of every four students fails to earn a high school diploma. In our major cities across America, half of our kids dont graduate."
mostly-true,Geithner's failure to pay self-employment taxes while working for the IMF is a mistake that is commonly made for people who are working internationally or for international institutions.
mostly-true,The United States is 50th in life expectancy in the world.
mostly-true,"Opponent Holly Benson said that Just because youre poor doesnt mean youre unhealthy, it just means you have a lot more time to go running."
mostly-true,About 57 percent of registered Democrats in the new (9th Congressional) district come from my old district.
mostly-true,The 1908 Model T earned better gas mileage than a typical SUV sold in 2008.
mostly-true,"The CBO found that the House Republican health care plan would lower premiums by ""up to about 10 percent"" and, for purchasers in the individual market, ""those cost savings could even be higher."""
mostly-true,"You dont see Norway losing population, and its taxes are astronomical."
mostly-true,Says Obama called Kagan a moderate. He called Sotomayor a moderate.
mostly-true,"Georgia is one of seven states to lose jobs in 2011 and has lost 8,200 jobs so far."
mostly-true,Forty-six states have a line-item veto for the governor.
mostly-true,"In April, Sen. McCain came out against helping women earn equal pay for equal work."
mostly-true,Marriage decreases the probability of child poverty by 82 percent.
mostly-true,Women fill two-thirds of minimum wage jobs.
mostly-true,"Since the United States began negotiations with Iran, thats probably the first year and a half in which Iran has not advanced its nuclear program in the last decade."
mostly-true,Wisconsin bill grants drug companies and medical device manufacturers immunity from injuries and deaths caused by their products.
mostly-true,"Right now, we only keep 50 percent of Georgia Techs graduates."
mostly-true,"Says Dontre Hamilton, who was killed during a confrontation with a Milwaukee police officer, was unarmed."
mostly-true,Much more than 50 percentof parents out there are spankers.
mostly-true,"Says that under President John F. Kennedy, government took up 27 percent of the economy, and today it consumes 37 percent."
mostly-true,"By spring 2014, parents of 60,000 students in New York state had refused to let them take the Common Core Tests."
mostly-true,"Its actually easier for the United States to get flight manifests from E.U. nations than it is for E.U. nations to get them from their own neighbors, thanks to an agreement the U.S. negotiated when I was secretary of state."
mostly-true,Rhode Island has a [inmate] recidivism rate of over 60 percent.
mostly-true,Says Scott Brown voted to give oil companies big tax breaks.
mostly-true,"McCain used to buck his party on immigration by fighting for comprehensive reform. . . . But when he was running for his party's nomination, he . . . said that he wouldn't even support his own legislation if it came up for a vote."
mostly-true,I have never supported cap and trade.
mostly-true,"Our own National Security Agency says that (Iran's) nuclear ambitions are advancing, and at the same time ... we are slashing our own nuclear arsenal."
mostly-true,We got back every dime used to rescue the banks.
mostly-true,"The proposed education changes ""will not cut one teacher's pay."""
mostly-true,"My two appointments to the Florida Supreme Court, Raul Cantero and Kenneth Bell, have earned reputations as its most consistent conservatives."
mostly-true,"When Jeb (Bush) was governor, his first four years as governor, his Medicaid program grew twice as fast as mine."
pants-fire,Ed Perlmutter voted for Viagra for rapists paid for with tax dollars.
pants-fire,"More than 3,000 homicides were committed by illegal aliens over the past six years."
pants-fire,"(U.S. Reps.) Paul Ryan, Sean Duffy and Reid Ribble are shutting down town hall meetings, or making their constituents pay to attend them."
pants-fire,"Earlier this year, [John DePetro] was accused of sexually assaulting a female co-worker."
pants-fire,We are only inches away from ceasing to be a free market economy.
pants-fire,Congressman Robert Hurt has a plan to cut education by 40 percent.
pants-fire,Roughly 25% of RI has a criminal record
pants-fire,Says President Barack Obama delivered $2 billion to Brazil to help with offshore drilling projects.
pants-fire,Theres no wildlife in the Arctic National Wildlife Refuge.
pants-fire,"Already, the mayor of Green Bay is having ribbon-cutting after ribbon-cutting for economic development around the new VA center."
pants-fire,Says Baltimore police are trained by Mossad and Shin Bet.
pants-fire,"In the 1970s, the swine flu broke out . . . under another Democrat, President Jimmy Carter."
pants-fire,Says George Soros and Bill Gates are funding a bioweapons lab in Sierra Leone that caused the Ebola outbreak.
pants-fire,Redistribution has never been a characteristic of America.
pants-fire,"Wisconsin is broke, and state government is $3 billion in debt."
pants-fire,"In Japan, permanent residency is not given to Muslims, the propagation of Islam is banned, one cannot import a Koran published in the Arabic language, and Muslims cannot even rent a house."
pants-fire,"Says under his budget-repair bill, collective bargaining is fully intact."
pants-fire,Creflo Dollar has endorsed Republican Donald Trump for president.
pants-fire,Says that Tennessee Gov. Bill Haslam has made it clear by his repeated actions that he will pursue a policy that promotes the interest of Islamist (sic) and their radical ideology as long as he is governor.
pants-fire,"You and I know that in the history of mankind and womankind, government federal, state, local, or otherwise has never created one job."
pants-fire,Says Barack Obama and his team are socialists in every respect of the word.
pants-fire,"In the last three years alone, 13 times, the Supreme Court, unanimously, 9-0, including all of the presidents liberal picks, have struck down the presidents executive orders."
pants-fire,Says the federal government mandates transexuals (sic) and homosexuals grabbing children in their stranger-danger zones in the name of airport security.
pants-fire,Donald Trump is appealing as much to Democrats as he is to Republicans.
pants-fire,"A sign in Dearborn, Mich., for the Advancement of Islamic Agenda for America says, Allah be praised. America we will kill you all and nothing you can do to stop it."
pants-fire,"Nothing was done. I mean, $25 million was spent, but we dont have that (gun ownership)database."
pants-fire,"Says Scott Walker said Labor unions dont deserve to have a national holiday due to their damage to the economy. And the holiday should be replaced by Patriots Day, celebrated every year on 9/11."
pants-fire,"The $1.8 billion in [transportation] bonding, we dont have a repayment mechanism."
pants-fire,Barack Obama and Hillary Clinton are negotiating with the United Nations about doing a treaty that will ban the use of firearms.
pants-fire,"Statistics show one male cat can father 420,000 kittens in five years."
pants-fire,"Says a tweet he sent out wasnt saying, check out a sex tape. It was just take a look at the background of Alicia Machado."
pants-fire,Dan Gelber: On the record against scholarships to help our needy children attend Jewish private schools.
pants-fire,"Blue Cross headquarters has ""a $30,000 granite table."""
pants-fire,"A recent Obama executive order could lead to a number of investigations by Interpol in the United States, potentially aimed at American officials."
pants-fire,Says Ted Cruzsaid I was in favor in Libya. I never discussed that subject.
pants-fire,Ive been outspent by my opponents every time Ive run for U.S. Senate.
pants-fire,Say Texas U.S. Reps. Eddie Bernice Johnson and Sheila Jackson Lee are among open Socialists in Congress.
pants-fire,Says Joe Straus was co-author of a bill that would have allowed Planned Parenthood to control public school sex education.
pants-fire,Accuses Ed FitzGerald of pay-to-play and corruption politics.
pants-fire,Ken Cuccinelli tried to shut down state government.
pants-fire,Said they reached a power-sharing agreement with Republican Lt. Gov. Casey Cagle
pants-fire,Says John Boehner admits we are not going to be any different than weve been by returning to the same failed economic policies that wrecked our economy.
pants-fire,On assault weapon violence: Ducks have more protection than people in Virginia.
pants-fire,Says that Starbucks took Christmas off of their brand new cups.
pants-fire,Idaho Republican Rep. Mike Simpson is a liberal who voted with Nancy Pelosi to fund sex study programs of San Francisco prostitutes and to regulate the sale of firearms.
pants-fire,"According to a government supplier of emergency products, the Disaster Assistance Response Team was told to be prepared to be activated in the month of October for an outbreak of Ebola."
pants-fire,Sen. Sherrod Brown has chosen to side with Washington bureaucrats and fringe extremists in the attacks on our natural resources.
pants-fire,Soldiers Donating to Tea Party Now Face Punishment Under the Uniform Code of Military Justice.
pants-fire,Barbara Boxers worried about the weather instead of terrorism as the biggest threat to national security.
pants-fire,Says Hillary Clinton wants to let people just pour in. You could have 650 million people pour in and we do nothing about it. Think of it. Thats what could happen. You triple the size of our country in one week.
pants-fire,"All non-US citizens, illegal or not, will be provided with free health care services."
pants-fire,"Gov. Scott Walker (is) more than halfway to (his) 250,000 jobs goal."
pants-fire,Says Chuck Hagels nomination as defense secretary has been publicly celebrated by the Iranian government.
pants-fire,A company with 20 employees could go out of business because of health care law requirements to buy insurance.
pants-fire,"A report in Navy Times said that 7.3 percent of Army, Navy and Marines have thought about attempting suicide."
pants-fire,"Says a man in Ferguson, Mo., was photographed holding a sign that said, No mother should have to fear for her sons life every time he robs a store."
pants-fire,"Weve had about 3,000 murders in connection with lax border security."
pants-fire,"Says Steve Kagen promised us jobs, voting for the $787 billion stimulus. Cost: another 77,000 jobs lost."
pants-fire,One of George Soros companies has provided some of the (voting) machines for some states.
pants-fire,Says 11 states have more people on welfare than employed.
pants-fire,Appalachian Power Company is making record profits.
pants-fire,"Under Obama's budget plan, families making over $250,000 are going to lose their mortgage deduction, their charitable deductions."
pants-fire,"Members of Congress specifically exempted themselves from many of the laws they have passed, such as being exempt from any fear of prosecution for sexual harassment ... (and) from the healthcare reform."
pants-fire,This incident of supposed feces depicting a swastika on the wall of a bathrooms in one of the halls ... has been supported by zero fact.
pants-fire,U.S. Rep. Phil Gingrey wants public schools to teach women to stay in their place.
pants-fire,Lady Gaga announced she would cover her face until Trump gets fired from office.
pants-fire,Wendy Davis raised money for a U.S. House Democrat who is a member of a Democratic socialists group.
pants-fire,An anonymous e-mail says that Hillary Clinton advocates communism.
pants-fire,"After the U.S.-led military alliance ejected Saddam Husseins forces from Kuwait in 1991, the Kuwaitis never paid us."
pants-fire,Louisiana Sen. Mary Landrieu received almost $1.8 million from BP over the last decade.
pants-fire,It is Hillary Clintons agenda to release the violent criminals from jail. She wants them all released.
pants-fire,Final election 2016 numbers: Trump won the popular vote.
pants-fire,"Youll find blacks in almost every regiment throughout the South who fought right alongside white Southerners, during the Civil War."
pants-fire,Says Bernie Sanders is going to tax you people at 90 percent.
pants-fire,"Barack Obama's middle name is Mohammed and he's a ""covert"" Muslim."
pants-fire,"Since January 2008 the private sector has lost nearly 8 million jobs while local, state and federal governments added 590,000."
pants-fire,The stimulus has not created one private sector job.
pants-fire,"Our law enforcement agencies have found bodies in the desert, either buried or just lying out there, that have been beheaded."
pants-fire,"Says Bernie Sanders wins California landslide, But ⅔ of his votes arent counted."
pants-fire,Say New Jersey Reps. Donald Payne and Frank Pallone are socialists who are openly serving in the U.S. Congress.
pants-fire,I'm probably one of the four or five best-known Americans in the world.
pants-fire,The goal of Common Core is to instill federally determined attitudes and mindsets in students including political and religious beliefs.
pants-fire,"While Americans pray for Paris, the government has acted on mandatory national vaccinations."
pants-fire,Says GOP U.S. Rep. Sean Duffy of Wisconsin voted twice to end Medicare.
pants-fire,Margaret Sanger wanted a black Christian leader to be like a Judas goat and lead the blacks to genocide. Remember that? And they picked Martin Luther King as their spokesman.
pants-fire,Chris Coons has Marxist beliefs.
pants-fire,My opponent has no child care plan.
pants-fire,AIDS was transmitted to humans because one guy had sex with a monkey and then started having sex with men.
pants-fire,Residential property taxes [in Providence] are up nearly 27 percent under Mayor Taveras.
pants-fire,Scott Walker has a plan to privatize state lands and wants to sell our deer to the highest bidder.
pants-fire,Says Ohio Treasurer Josh Mandel first claimed bank fraud in June 2010 but did nothing for more than a year while raising money for his (Republican) Senate campaign.
pants-fire,"Under Obamas plan (for welfare), you wouldnt have to work and wouldnt have to train for a job. They just send you your welfare check."
pants-fire,I never said that Marco Rubio was Mark Zuckerbergs personal senator.
pants-fire,Were going to be looking at $8 billion a day that were going to be pouring into foreign countries in order to import that make-up fuel that were going to need to take the place of what we could have gotten out of the gulf.
pants-fire,Were inches away from no longer having a free economy.
pants-fire,We just had someone last week in Neenah near a school kill someone with a bow and arrow.
pants-fire,"The working tax cut created over 40,000 new jobs in just the last four years."
pants-fire,U.S. military uniforms are manufactured in China.
pants-fire,"Says he helped bring Uline company to Kenosha area, creating 800 local jobs."
pants-fire,There are over 200 documented cases where (Obama) has lied.
true,Newt Gingrich teamed with Nancy Pelosi and Al Gore on global warming.
true,"We have over 300,000,000 weapons, firearms in this country. Thats almost as big as the population."
true,"One in four Texans lacks health insurance, the highest proportion in the nation."
true,Four (maybe five) Latinos have served on the Austin City Council.
true,Georgia has recovered more than $60 million that was lost to Medicaid fraud
true,Says Hillary Clinton said she was under attack (in Bosnia) but the attack turned out to be young girls handing her flowers.
true,"When Sen. Edwards ran in 2004, he wasn't for universal health care. I'm glad he is now."
true,On mandatory ultrasounds before abortions.
true,"Says McCain once said that on ""the most important issues of our day, I've been totally in agreement and support of President Bush."""
true,"Says the Republican Party platform says pull back even more of the rules on campaign finance reform, get rid of McCain-Feingold while the Democratic Party platform says we want to find a way to put more fair rules on campaign finance reform."
true,Medicaid is the primary source of health insurance for 41.7 percent of Hispanic children in Georgia.
true,"There have been literally hundreds of new tax preferences and loopholes added to the code since 1986, last time we did this."
true,"A lawyer demanded several Houston pastors hand over to the city government many of their private papers, including their sermons."
true,Says his release of 33 years of tax returns is more than any presidential candidate in history.
true,So what sort of services does Romney's health care plan provide? Per the state Web site: $50 co-pay for abortions.
true,Says Gloria Steinem once called Kay Bailey Hutchison a female impersonator.
true,The poorest in this country are women.
true,Says President Barack Obama released a statement on the death of brother Robin Williams before ... a statement on brother Michael Brown.
true,The Bush tax cuts helped to create a substantial part of the deficit.
true,"Says Marco Rubio said that people who essentially dont agree with him, ought to leave the country, like Keith Olbermann."
true,Wisconsins attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time.
true,Says Rep. Steve Stockman basically wants gun-filled zones in schools.
true,"Thirty-eight states -- Georgia not included -- have appointed, rather than elected, state school superintendents."
true,"Because of a local version of Amendment 4, the taxpayers of St. Pete Beach have had to pay hundreds of thousands in legal bills."
true,Clinton said great things about NAFTA until she started running for president.
true,"Turkeys today weigh 29.8 pounds. In the 30s, they weighed 13.2 pounds."
true,Tom Reed has actually voted for every single trade deal that has ever come before him in any form.
true,"Bill McCollum explained his lack of action on mortgage fraud by saying, ""You can't do everything."""
true,Drone technology now allows an individual to be recorded in their homes by drones as small as birds and immediately uploaded to the internet.
true,"Of the 13 (Bill) Clinton speeches that fetched $500,000 or more, only two occurred during the years his wife was not secretary of state."
true,Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure.
true,I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.
true,"Other Western countries have ended their ""Don't Ask, Don't Tell"" policies."
true,Only about a third of Texans who enroll in college graduate.
true,"Says this months special session will cost the state $27,300 a day just for legislators daily living expenses."
true,The proposed raises for the Norcross City Council would put it in line with other liked-sized communities.
true,"Countries bombed: Obama 7, Bush 4"
true,Five percent of Americans pay over half the income taxes in this country. Forty percent of Americans pay no income taxes at all.
true,Says proposed teacher contract would layer on more restrictive rules.
true,Says the U.S. Supreme Court found that Social Security is not guaranteed.
true,"In Harrisburg, I passed more bills than all the Democrats combined, in terms of legislation affecting the city."
true,"In 2010, Mr. [Anthony] Gemma described himself as a pro-life candidate. Now, he claims to be pro-choice."
true,"There has never been a death caused by a [commercial nuclear] reactor in the United States, even when Three Mile Island failed in the 1970s."
true,"Currently, the intelligence community can collect business records on law-abiding Americans who have no connection to terrorism."
true,Says About 7 in 10 of Oregons inmates are in prison for violent crimes and serious sex offenses.
true,"Closing the tobacco loophole would save Missouri taxpayers $50,000,000"
true,Says Scott Walkers views on abortion are more restrictive than any Republican president in recent times.
true,Says America spends over 17 percent of its GDP on health care costs when our closest competitor nations are spending about 12.
true,"Democrats have said that ""even one hearing (on the stimulus bill) would be one too many, and that we have a single day to approve these five complex propositions that will affect the lives of millions."""
true,"We have one of the most expensive General Assemblies, per capita, in the entire country."
true,"When it comes to fighting terrorism, Another thing we know that does not work, based on lots of empirical evidence, is torture."
true,On supporting the Supreme Court abortion decision Roe v. Wade
true,Says Oregonians for Food and Shelter proudly features board members from Monsanto and Syngenta and the (Oregon) Farm Bureau also receives funding from biotech companies.
true,"Texas is home to millions of Latinas, but the state has never elected a Latina to Congress."
true,Rhode Islanders pay among the highest auto repair bills in the nation.
true,Several elected state officials have opened their homes to children in need of loving families.
true,"We do not have an overcrowding problem. As a matter of fact, Rhode Island has one of the lowest incarceration rates in the country."
true,Debt has almost doubled in Austin under Gov. Perry.
true,"Obama said his proposed $1,000 emergency energy rebate ""will be enough to offset the increased cost of gas for a working family over the next 4 months."""
true,Macys sent a letter to Rick Perry urging him to veto equal pay bill.
true,Says judges get better benefits at a lower cost than everybody else in the state.
true,New England already has access to ample supplies of natural gas.
true,Rhode Island already gets more revenue per capita from gambling than any other state in the country.
true,You can fill out your tax return in Estonia online in five minutes.
true,Georgia still has one of the richest programs in terms of scholarships for students to go to college.
true,"Since I took office, over 319,000 new private sector jobs have been created in Georgia with nearly 93,000 of those coming in the past 12 months."
true,"In South Florida, weve had nine inches of sea-level rise since the 1920s."
true,There are a lot of casinos across the country that have gone bankrupt.
true,Social Security ... is solid through about 2040 without any changes whatsoever.
true,Americas wealthiest 25 percent pay 86 percent of total income taxes. Wealthiest 5 percent pay 60 percent of total income taxes.
true,He won't even support his colleague's ... motion to censure the Bush administration for systemic repeated illegal wiretaps.
true,"Under Donald Trumps tax plan, 51 percent of single parents would see their taxes go up."
true,Ive got a 94 percent career voting record in Congress while Bill Nelson has a 92 percent voting record.
true,"As CEO of WWE, Linda McMahon was caught tipping off a ringside physician about a federal investigation into illegally distributing steroids to wrestlers."
true,The top25 hedge fund managers (are) making more than all of Americas kindergarten teachers combined.
true,Says GOP recall challenger Kim Simac was delinquent paying her property taxes eight of the last nine years.
true,Says Donald Trump supports eminent domain and the Supreme Courts Kelodecision.
true,"Weve had 11,000 attempts to amend the Constitution since 1789."
true,Says he was known as Veto Corleone for cutting spending as Florida governor.
true,"Unlike marijuana, medical cannabis oil cannot get you high."
true,On deporting illegal immigrants.
true,The Republican-controlled Wisconsin Assembly approved only one out of 376 amendments offered by Assembly Democrats in 2011.
true,Rhode Island has the worst maintained bridges in the United States of America . . . and we have the second worst maintained roads [behind] Alaska.
true,"Fifty-one percent -- that is, a majority of American households -- paid no income tax in 2009. Zero. Zip. Nada."
true,Toledo Mayor Mike Bell (once) lost his job as a firefighter because his city ran out of money.
true,(My dad) used to campaign against the gas-guzzling dinosaurs.
true,"The United States is no longer top nation in the globe on infrastructure, having fallen to 15th."
true,Two days of interest we pay to China is enough to buy one joint strike fighter [jet].
true,"A year ago, in March 2007, I called for immediate action to address abuses in the subprime market, and I laid out detailed concrete proposals for how to do so."
true,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose."
true,"Since I took office, Wisconsin ranks 11th in the nation in total business establishment growth compared to 47th in the years Mary Burke was Commerce secretary."
true,Says Mitt Romney had millions in a Swiss bank account.
true,Says there have been no cases of wolves killing people in Rocky Mountain states.
true,Massachusetts Sen. Scott Brown shows someone can be bipartisan in Congress because he votes about 66 percent with his own party.
true,"We spent approximately $20-billion of that money on pork barrel, earmark projects. Maybe if we had done it right, maybe some of that money would have gone to inspect those bridges and other bridges across the country."
true,"Says in Chicago, we take more guns off the streets than New York or L.A."
true,The 2012 National Survey on Drug Use and Health found that up to half of daily marijuana smokers become addicted -- an estimated 2.7 million people in the U.S.
true,"Over the last six months, President Barack Obama has golfed 10 times and held 106 fundraisers, but his jobs council has never met."
true,"Palin supports ""aerial hunting of wolves and other wildlife."""
true,Says Mitt Romney flip-flopped on abortion.
